plot.mpb,plot,date,plot.id,tree.id,species,live.dead,j.gal,exit.hole,dbh,scorch.height,bole.scorch,cl.deep.char,killed.by,mortality,canopy.str,cone.op.cl,cone.ct,snag.cwd,preb.ld,preb.sd,pref.ld,pref.sd,postf.ld,postf.sd
LH33,33,7/20/2016,BA0720H1,SW2,pico,D,N,N,11.5,9,100,2,FIRE,FIRE,partial,open,300,snag,live,stand,live,stand,dead,stand
LH33,33,7/20/2016,BA0720H1,NE4,pico,D,N,Y,10,10,100,1,FIRE,FIRE,full,open,240,snag,live,stand,live,stand,dead,stand
LH33,33,7/20/2016,BA0720H1,NE5,pico,D,N,N,7.5,7,100,1,FIRE,FIRE,partial,open,40,snag,live,stand,live,stand,dead,stand
LH34,34,7/20/2016,BA0720H2,SW2,pico,D,N,N,11,11,100,2,FIRE,FIRE,partial,open,125,snag,live,stand,live,stand,dead,stand
LH34,34,7/20/2016,BA0720H2,,pigl,D,,,8,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
HM35,35,7/20/2016,BA0720M1,,pigl,D,,,18,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,NW1,pico,D,N,N,15.5,14,100,1,FIRE,FIRE,full,open,70,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,NW6,pico,D,N,N,14,14,100,1,FIRE,FIRE,full,open,100,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,SW5,pico,D,N,N,13,14,100,1,FIRE,FIRE,full,open,400,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,NE7,pico,D,N,N,12,9.5,100,1,FIRE,FIRE,full,open,15,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,SE3,pico,D,N,Y,11.5,10,100,1,FIRE,FIRE,full,open,180,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,NE2,pico,D,N,Y,11.5,11,100,1,FIRE,FIRE,full,open,40,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,SW2,pico,D,N,N,11.5,12,100,1,FIRE,FIRE,partial,open,10,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,NW7,pico,D,N,N,11.5,13,100,1,FIRE,FIRE,full,open,50,snag,live,stand,live,stand,dead,stand
LH36,36,7/21/2016,BA0721H1,NE4,pico,D,N,N,11,9.5,100,1,FIRE,FIRE,full,open,3,snag,live,stand,live,stand,dead,stand
